"red","green","blue","ir","ndvi","Cmmn_Nm","red_blue","red_green","blue_green"
4345,3790,2829,4935,0.0635775862068965,"Broadleaf",1.53587840226228,1.14643799472296,0.746437994722955
3844,3327,2302,5198,0.149745631497456,"Broadleaf",1.66985230234579,1.15539525097686,0.691914637811842
4471,4008,3051,8027,0.284525524083853,"Broadleaf",1.46542117338578,1.11551896207585,0.76122754491018
4224,3302,2894,4473,0.0286305622628493,"Broadleaf",1.45957152729786,1.27922471229558,0.876438522107813
4132,3686,2623,6546,0.22607229818318,"Broadleaf",1.57529546321006,1.12099837221921,0.711611502984265
4236,3626,2485,8126,0.314674000970717,"Broadleaf",1.7046277665996,1.16822945394374,0.685328185328185
4254,3731,2614,7565,0.280142144005415,"Broadleaf",1.6273909716909,1.14017689627446,0.700616456714018
4136,3745,2966,6032,0.186467348544453,"Broadleaf",1.39447066756575,1.10440587449933,0.791989319092123
3954,3459,2465,5874,0.195360195360195,"Broadleaf",1.60405679513185,1.14310494362533,0.712633709164498
5082,4609,3922,6386,0.113707708405999,"Broadleaf",1.29576746557879,1.10262529832936,0.850943805597744
4322,3900,2725,7799,0.2868575200066,"Broadleaf",1.58605504587156,1.10820512820513,0.698717948717949
3938,3314,2407,6438,0.240940632228219,"Broadleaf",1.63606148732862,1.18829209414605,0.726312613156307
3805,2841,1789,4021,0.0276003066700741,"Broadleaf",2.12688652878703,1.33931714185146,0.629707849348821
4049,3554,2524,7601,0.304892703862661,"Broadleaf",1.60419968304279,1.13927968486213,0.710185706246483
4256,3608,2727,5694,0.144522613065327,"Broadleaf",1.56068940227356,1.17960088691796,0.755820399113082
3783,2828,1583,3336,-0.0627897176569743,"Broadleaf",2.38976626658244,1.33769448373409,0.55975954738331
4080,3595,2568,6427,0.223374892928524,"Broadleaf",1.58878504672897,1.13490959666203,0.71432545201669
3997,3527,2415,5525,0.160470489392985,"Broadleaf",1.65507246376812,1.13325772611284,0.684717890558548
3872,3360,2338,5799,0.199255506152414,"Broadleaf",1.65611633875107,1.15238095238095,0.695833333333333
4090,3538,2654,5215,0.120902740462117,"Broadleaf",1.54107008289375,1.1560203504805,0.750141322781232
4464,3801,2671,6858,0.211446740858506,"Broadleaf",1.67128416323474,1.17442778216259,0.702709813207051
4392,3768,2660,6781,0.213819028013962,"Broadleaf",1.65112781954887,1.1656050955414,0.705944798301486
3735,3269,2264,5123,0.156694513434184,"Broadleaf",1.64973498233216,1.14255123891098,0.69256653410829
4004,3588,2510,8168,0.342096615182386,"Broadleaf",1.59521912350598,1.11594202898551,0.699554069119287
